"","Code","Area","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","GM_ 2000","GM_ 2001","GM_ 2002","GM_ 2003","GM_ 2004","GM_ 2005","GM_ 2006","GM_ 2007","GM_ 2008","GM_ 2009","GM_ 2010","GM_ 2011","GM_ 2012","GM_ 2013","GM_ 2014","Avg._Growth_Rate_in_Earnings"
"2","E09000001","City of London","40400","65000","38300","37000","39200","44400","49300","49000","58500","61900","61300","51600","58300","65300","61100","60000",1.60891089108911,0.589230769230769,0.966057441253264,1.05945945945946,1.13265306122449,1.11036036036036,0.993914807302231,1.19387755102041,1.05811965811966,0.990306946688207,0.841761827079935,1.12984496124031,1.12006861063465,0.935681470137825,0.981996726677578,1.02502773788807
"3","E09000002","Barking and Dagenham","15100","15600","16200","17000","17400","16600","17900","17600","18600","19400","19400","19600","20100","21000","21800","22100",1.03311258278146,1.03846153846154,1.04938271604938,1.02352941176471,0.954022988505747,1.07831325301205,0.983240223463687,1.05681818181818,1.04301075268817,1,1.01030927835052,1.02551020408163,1.04477611940298,1.03809523809524,1.01376146788991,1.02409078410891
"4","E09000003","Barnet","18700","19400","18700","19700","20000","19900","21200","20400","22000","24300","24100","24200","25800","26800","27100","27700",1.03743315508021,0.963917525773196,1.05347593582888,1.01522842639594,0.995,1.06532663316583,0.962264150943396,1.07843137254902,1.10454545454545,0.991769547325103,1.00414937759336,1.06611570247934,1.03875968992248,1.01119402985075,1.02214022140221,1.02486080726964
"5","E09000004","Bexley","17200","17300","18300","17800","17700","17700","19400","19600","19800","22100","22600","22300","23100","24400","24400","24500",1.00581395348837,1.05780346820809,0.972677595628415,0.99438202247191,1,1.09604519774011,1.01030927835052,1.01020408163265,1.11616161616162,1.02262443438914,0.986725663716814,1.03587443946188,1.05627705627706,1,1.00409836065574,1.02235647604678
"6","E09000005","Brent","16500","16800","16500","16400","16800","16500","17600","18200","18300","19600","19700","20200","20600","21300","22700","23200",1.01818181818182,0.982142857142857,0.993939393939394,1.02439024390244,0.982142857142857,1.06666666666667,1.03409090909091,1.00549450549451,1.07103825136612,1.00510204081633,1.0253807106599,1.01980198019802,1.03398058252427,1.06572769953052,1.02202643171806,1.02152794692131
"7","E09000006","Bromley","18500","19500","19100","20100","21400","20900","22400","23000","23200","24900","25800","25100","26900","27200","28100","29800",1.05405405405405,0.979487179487179,1.05235602094241,1.06467661691542,0.976635514018692,1.07177033492823,1.02678571428571,1.00869565217391,1.07327586206897,1.03614457831325,0.972868217054264,1.07171314741036,1.01115241635688,1.03308823529412,1.06049822064057,1.03024444964858
"8","E09000007","Camden","20500","19700","19800","21700","21300","23200","24200","25900","26900","28400","29400","30400","31600","32000","33100","34400",0.960975609756098,1.00507614213198,1.0959595959596,0.981566820276498,1.08920187793427,1.04310344827586,1.0702479338843,1.03861003861004,1.05576208178439,1.03521126760563,1.03401360544218,1.03947368421053,1.0126582278481,1.034375,1.0392749244713,1.03288099466946
"9","E09000008","Croydon","16700","17300","18300","18000","19000","18600","19600","20700","20900","23100","22000","22700","23900","24300","25100","26300",1.03592814371257,1.05780346820809,0.983606557377049,1.05555555555556,0.978947368421053,1.05376344086022,1.05612244897959,1.00966183574879,1.10526315789474,0.952380952380952,1.03181818181818,1.05286343612335,1.01673640167364,1.03292181069959,1.04780876494024,1.0287917071172
"10","E09000009","Ealing","16400","17000","17500","18900","19400","19100","19000","19900","20200","21800","20800","21300","22700","23200","24600","24900",1.03658536585366,1.02941176470588,1.08,1.02645502645503,0.984536082474227,0.994764397905759,1.04736842105263,1.01507537688442,1.07920792079208,0.954128440366973,1.02403846153846,1.06572769953052,1.02202643171806,1.06034482758621,1.01219512195122,1.02644271962696
"11","E09000010","Enfield","16100","15900","17500","18100","18200","17000","18900","19500","19900","22100","20900","22300","22700","23900","25300","25100",0.987577639751553,1.10062893081761,1.03428571428571,1.00552486187845,0.934065934065934,1.11176470588235,1.03174603174603,1.02051282051282,1.1105527638191,0.945701357466063,1.06698564593301,1.01793721973094,1.05286343612335,1.05857740585774,0.992094861660079,1.02814173894954
"12","E09000011","Greenwich","16600","16000","18600","17000","17800","17100","18200","19200","20500","21400","21300","21800","22600","23500","24600","25600",0.963855421686747,1.1625,0.913978494623656,1.04705882352941,0.960674157303371,1.06432748538012,1.05494505494505,1.06770833333333,1.04390243902439,0.995327102803738,1.02347417840376,1.03669724770642,1.03982300884956,1.0468085106383,1.04065040650407,1.02744419400325
"13","E09000012","Hackney","14400","15800","17700","17300","17000","18000","19300","18400","20900","22200","22300","23300","24300","26000","26000","27800",1.09722222222222,1.12025316455696,0.977401129943503,0.982658959537572,1.05882352941176,1.07222222222222,0.953367875647668,1.13586956521739,1.0622009569378,1.0045045045045,1.04484304932735,1.04291845493562,1.06995884773663,1,1.06923076923077,1.04196982937993
"14","E09000013","Hammersmith and Fulham","19900","19300","21000","20800","19600","20800","23000","22800","23600","26700","27100","27600","27600","30100","30100","32000",0.969849246231156,1.0880829015544,0.990476190476191,0.942307692307692,1.06122448979592,1.10576923076923,0.991304347826087,1.03508771929825,1.13135593220339,1.01498127340824,1.01845018450184,1,1.09057971014493,1,1.06312292358804,1.03013360836867
