Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2000_1,2001_1,2002_1,2003_1,2004_1,2005_1,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,Avg_Ann_Growth_rate
E09000020,Kensington and Chelsea,18200,25200,25900,25400,24000,22400,27300,27500,31900,34100,31700,37200,37800,37600,38700,37500,0.384615385,0.027777778,-0.019305019,-0.05511811,-0.066666667,0.21875,0.007326007,0.16,0.068965517,-0.070381232,0.173501577,0.016129032,-0.005291005,0.029255319,-0.031007752,1.046218734
E09000021,Kingston-upon-Thames,20900,18800,19500,20700,20100,20400,22400,22900,25200,25600,24800,26000,26500,26100,29100,30300,-0.100478469,0.037234043,0.061538462,-0.028985507,0.014925373,0.098039216,0.022321429,0.100436681,0.015873016,-0.03125,0.048387097,0.019230769,-0.01509434,0.114942529,0.041237113,1.023483914
E09000022,Lambeth,15400,15300,18200,18800,20000,19900,20700,21600,22200,24000,24000,24600,26000,26800,27300,28400,-0.006493506,0.189542484,0.032967033,0.063829787,-0.005,0.040201005,0.043478261,0.027777778,0.081081081,0,0.025,0.056910569,0.030769231,0.018656716,0.04029304,1.038992353
E09000023,Lewisham,14900,15300,18000,17300,17000,18100,20000,20900,21000,22300,23200,22900,23000,24000,24900,25800,0.026845638,0.176470588,-0.038888889,-0.01734104,0.064705882,0.104972376,0.045,0.004784689,0.061904762,0.040358744,-0.012931034,0.004366812,0.043478261,0.0375,0.036144578,1.034908824
E09000024,Merton,19100,18400,18500,21200,19700,19400,20500,21600,22300,24100,24700,25200,25800,27800,27600,28500,-0.036649215,0.005434783,0.145945946,-0.070754717,-0.015228426,0.056701031,0.053658537,0.032407407,0.080717489,0.024896266,0.020242915,0.023809524,0.07751938,-0.007194245,0.032608696,1.025328946
E09000025,Newham,13300,14700,15300,15000,14500,15100,15200,15800,16500,17600,17400,17600,18500,20100,20200,22100,0.105263158,0.040816327,-0.019607843,-0.033333333,0.04137931,0.006622517,0.039473684,0.044303797,0.066666667,-0.011363636,0.011494253,0.051136364,0.086486486,0.004975124,0.094059406,1.032247381
E09000026,Redbridge,17100,16900,17200,18700,19000,17800,20000,20700,21600,22300,22200,22900,23800,25100,25700,26400,-0.011695906,0.017751479,0.087209302,0.016042781,-0.063157895,0.123595506,0.035,0.043478261,0.032407407,-0.004484305,0.031531532,0.03930131,0.054621849,0.023904382,0.027237354,1.027514569
E09000027,Richmond-upon-Thames,20900,21100,23400,23100,25600,24500,25800,27300,29100,30800,30600,31500,33400,33700,35800,35500,0.009569378,0.109004739,-0.012820513,0.108225108,-0.04296875,0.053061224,0.058139535,0.065934066,0.058419244,-0.006493506,0.029411765,0.06031746,0.008982036,0.06231454,-0.008379888,1.033665757
E09000028,Southwark,14600,15400,16900,17900,18200,17800,20000,20400,21900,23300,23800,24300,25000,26200,27700,27100,0.054794521,0.097402597,0.059171598,0.016759777,-0.021978022,0.123595506,0.02,0.073529412,0.063926941,0.021459227,0.021008403,0.028806584,0.048,0.057251908,-0.02166065,1.039413916
E09000029,Sutton,16400,17000,17600,17800,18400,18900,20200,21400,22500,23200,22300,25300,25000,25100,25900,27400,0.036585366,0.035294118,0.011363636,0.033707865,0.027173913,0.068783069,0.059405941,0.051401869,0.031111111,-0.038793103,0.134529148,-0.011857708,0.004,0.03187251,0.057915058,1.032598928
